Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
02/05/2024 20:57:28,39.22304,38.45567,8.77,0.53,MW,4.0,Sivrice (Elazığ),627386
19/04/2024 08:02:20,26.83435,37.82233,6.97,0.41,MW,4.5,Ege Denizi - [27.90 km] Seferihisar (İzmir),626206
16/04/2024 21:09:49,38.55448,38.14055,9.28,0.37,MW,4.3,Battalgazi (Malatya),625887
12/04/2024 05:44:27,38.56798,38.22769,7.0,0.48,MW,4.1,Battalgazi (Malatya),625471
09/04/2024 11:13:38,38.57575,38.23497,13.32,0.34,MW,4.1,Pütürge (Malatya),666624
03/04/2024 07:48:14,37.67366,38.03944,13.9,0.54,MW,4.5,Doğanşehir (Malatya),624739
30/03/2024 00:25:04,39.35321,38.49903,13.83,0.43,MW,4.7,Merkez (Elazığ),624287
21/03/2024 19:20:41,28.76902,39.63554,7.7,0.3,MW,4.0,Dursunbey (Balıkesir),623511
20/03/2024 05:55:42,36.98509,37.48333,5.13,0.28,MW,4.0,Dulkadiroğlu (Kahramanmaraş),623342
10/03/2024 13:55:57,30.1051,36.08813,35.12,0.19,MW,4.7,Akdeniz - [19.08 km] Demre (Antalya),622407
08/03/2024 04:27:12,28.39629,36.33988,36.05,0.32,MW,4.4,Akdeniz - [41.39 km] Marmaris (Muğla),622215
03/03/2024 14:43:55,37.64972,38.04983,12.68,0.47,MW,4.4,Doğanşehir (Malatya),621707
19/02/2024 09:23:21,37.81023,38.08336,17.7,0.69,MW,4.3,Doğanşehir (Malatya),620281
03/02/2024 03:09:26,43.97361,37.31844,7.0,0.18,MW,4.3,Yüksekova (Hakkari),618402
25/01/2024 13:04:04,38.45698,38.18958,13.88,0.38,MW,5.2,Battalgazi (Malatya),617302
21/01/2024 12:41:35,38.83885,38.36143,9.7,0.38,MW,4.0,Kale (Malatya),616892
18/01/2024 20:37:23,38.43175,38.11329,7.01,0.33,MW,4.0,Sincik (Adıyaman),616632
10/01/2024 21:40:23,27.69611,36.47182,14.82,0.23,MW,4.3,Ege Denizi - [27.63 km] Datça (Muğla),615810
09/01/2024 21:34:30,35.16753,40.54098,16.81,0.34,MW,4.2,Mecitözü (Çorum),615711
09/01/2024 19:20:09,37.48113,38.00026,6.97,0.41,MW,4.1,Nurhak (Kahramanmaraş),615709
06/01/2024 12:10:09,38.58572,38.15844,8.76,0.32,ML,4.0,Battalgazi (Malatya),615342
30/12/2023 13:26:24,39.01396,38.44916,9.36,0.24,ML,4.2,Merkez (Elazığ),614576
28/12/2023 10:40:34,28.39629,36.32036,57.39,0.44,ML,4.0,Akdeniz - [43.28 km] Marmaris (Muğla),614322
28/12/2023 09:34:05,38.1188,38.25796,17.3,0.39,MW,4.6,Yeşilyurt (Malatya),614315
27/12/2023 07:55:12,37.6619,38.03319,9.69,0.29,MW,4.3,Doğanşehir (Malatya),614216
21/12/2023 18:24:33,36.1487,36.32221,9.19,0.25,MW,4.1,Antakya (Hatay),613581
23/11/2023 14:49:57,38.57015,38.14796,6.48,0.3,MW,4.7,Battalgazi (Malatya),610393
23/11/2023 14:46:08,38.56128,38.15701,11.96,0.36,MW,5.2,Battalgazi (Malatya),610392
