network,station,latitude,longitude,elevation
KO,GORD,38.9088,28.1769,744.0
KO,KURC,41.8456,32.743,143.0
KO,YUVA,40.391,31.6872,1163.0
KO,YAYO,39.6113,27.0726,122.0
KO,SENK,40.5614,42.3505,1939.0
KO,NIG,38.108,34.6142,2270.0
KO,BUYK,41.0168,28.5828,2.0
KO,FETY,36.6353,29.0835,200.0
KO,GEML,40.4646,29.2116,222.0
KO,AYDB,37.9467,27.8908,1246.0
KO,SUSR,39.9627,28.0835,359.0
KO,FOCM,38.7131,26.7309,34.0
KO,GOMA,38.7077,27.9175,110.0
KO,HYBA,40.8748,29.0861,65.0
KO,EREN,35.5292,34.1742,88.0
KO,POLA,39.7005,32.1677,1068.0
KO,KUSD,37.8606,27.2868,323.0
KO,YLV,40.5658,29.3708,879.0
KO,NAZL,37.9641,28.2922,510.0
KO,ALT,39.0541,30.1104,1060.0
KO,EZNE,39.756,26.3655,75.0
KO,LEF,35.1118,32.8433,152.0
KO,MNVG,36.7935,31.4161,24.0
KO,KRMN,37.174,33.2636,1068.0
KO,BMYO,39.8098,26.6009,121.0
KO,CAVI,40.2018,29.8377,670.0
KO,KARO,39.3089,41.0493,1820.0
KO,SMAA,39.1005,28.9805,804.0
KO,KIZO,40.9005,35.9334,1050.0
KO,ESKT,39.5212,30.8492,1295.0
KO,CUND,39.336,26.6663,10.0
KO,KULU,39.0343,33.0023,1120.0
KO,LAPK,40.3151,26.6425,2.0
KO,BIGA,40.28134,27.15048,60.0
KO,ORLT,40.0452,28.8914,650.0
KO,MALT,38.3134,38.4273,1112.0
KO,AFSR,39.4468,33.0707,1055.0
KO,GAZ,37.1721,37.2096,992.0
KO,YALI,40.7676,32.9822,1217.0
KO,ISK,41.0615,29.0592,85.0
KO,GULA,38.3444,34.236,1126.0
KO,GEMT,40.435,29.189,220.0
KO,DATC,36.7584,27.6602,94.0
KO,ENEZ,40.7362,26.153,100.0
KO,AKDN,35.2977,32.9677,85.0
KO,SINE,39.1636,39.3871,1210.0
KO,SILV,41.0723,28.239,2.0
KO,MAGT,35.1696,33.8714,23.3
KO,CAYL,40.3745,36.159,740.0
KO,HSY,35.2916,33.0974,25.7
KO,BOLI,40.7175,31.5148,910.0
KO,SUTC,37.4765,30.9997,1310.0
KO,OSMA,40.9939,34.7605,418.0
KO,GERE,40.8004,32.2154,1373.0
KO,KMAH,39.6082,39.0275,1100.0
KO,KBAN,38.797,38.7278,745.0
KO,ARGN,38.7763,38.2639,1185.0
KO,BAKL,37.9793,29.6135,1032.0
KO,LICE,38.4532,40.6446,963.0
KO,NURH,37.9693,37.4363,1563.0
KO,SERH,37.582,29.2588,1032.0
KO,PERB,41.1016,37.7635,270.0
KO,BABD,37.802,28.8531,900.0
KO,GUZE,40.9998,28.5074,3.0
KO,AYVL,39.2907,26.69,17.0
KO,NMR6,40.704,27.2653,333.0
KO,NMR3,40.7432,27.2944,235.0
KO,NMR2,40.7172,27.3123,10.0
KO,NMR7,40.728,27.2353,338.0
KO,NMR5,40.7954,27.366,97.0
KO,NMR4,40.788,27.3006,925.0
KO,NMR9,40.6196,27.702,9.0
KO,NMR8,40.612,27.5347,9.0
KO,DIVR,39.3562,38.1237,1257.0
KO,MLTY,38.3223,38.4407,1018.0
KO,AKDG,38.3618,37.9703,1131.0
KO,YHT1,38.1219,32.6236,1059.0
KO,YHT3,37.2297,33.1503,1032.0
KO,SLVA,41.0731,28.1403,14.0
KO,YHT2,37.6151,32.724,1020.0
6G,AKHS,38.879,27.814,370.0
6G,AYVA,39.308,26.69,100.0
6G,BALY,39.74,27.619,645.0
6G,BAYC,39.741,26.547,349.0
6G,BOZC,39.842,26.053,195.0
6G,BUHA,39.501,27.077,258.0
6G,CAME,38.748,27.312,279.0
6G,CMHM,40.012,27.97,205.0
6G,DEMI,39.043,28.716,920.0
6G,DURS,39.601,28.47,960.0
6G,ELBA,41.147,28.43,331.0
6G,EREM,40.045,28.891,657.0
6G,KOCA,39.502,26.138,292.0
6G,NEVM,39.954,27.263,329.0
6G,SART,40.689,27.18,679.0
6G,STEP,39.377,27.718,519.0
6G,ZEDA,38.967,27.077,179.0
6G,AKRS,39.6857,28.02514,233.0
6G,BEYO,39.63901,26.93194,251.0
6G,BOZM,40.534,28.782,119.0
6G,BUYM,40.852,29.118,231.0
6G,BZGM,40.173,26.986,180.0
6G,CAGI,39.51623,28.01518,275.0
6G,CAMT,39.64985,27.8651,277.0
6G,DUVT,39.23597,28.4305,698.0
6G,ESKM,40.607,28.945,96.0
6G,GBZM,40.786,29.45,270.0
6G,HAMK,40.171,29.186,335.0
6G,HSYN,39.54993,27.30218,565.0
6G,IGDM,40.264,29.201,165.0
6G,KBKT,39.69028,27.81532,433.0
6G,KKZM,41.127,27.345,143.0
6G,KLCM,40.633,29.398,170.0
6G,KMRM,40.418,27.069,40.0
6G,KNLM,40.27,27.526,178.0
6G,KRCM,40.265,28.332,443.0
6G,KUYC,39.46075,27.04681,483.0
6G,KVKM,40.604,26.888,75.0
6G,MADM,40.564,27.665,40.0
6G,MARM,40.967,27.961,43.0
6G,MSDM,40.349,28.6,201.0
6G,OMRT,40.971,28.604,56.0
6G,SGTM,40.767,27.108,295.0
6G,SLVM,41.073,28.14,30.0
6G,ATIM,40.083,27.563,230.0
6G,SNLM,41.228,28.209,173.0
6G,TEPT,41.064,28.509,91.0
6G,TRNM,40.505,27.778,80.0
6G,YNKM,40.826,27.397,370.0
IJ,MAR2,40.7172,27.3123,14.0
IJ,MAR3,40.7432,27.2945,243.0
IJ,MAR4,40.788,27.3007,905.0
IJ,MAR5,40.7954,27.366,104.0
IJ,MAR6,40.7041,27.2653,334.0
IJ,MAR7,40.7281,27.23533,342.0
IJ,MAR8,40.6121,27.5348,28.0
IJ,MAR9,40.6196,27.702003,99.0
