Network,Code,Longitude,Latitude,Height,Province,District
"TU","CBAL",29.4108,36.8551,1373,"Burdur","Altınyayla"
"TU","BZG",26.9865,40.1727,180,"Çanakkale","Biga"
"TU","CTK",34.7897,40.6231,1650,"Çorum","Merkez"
"TU","CUZAR",37.7705,39.8882,1425,"Sivas","Zara"
"-","GUL",34.7763,37.2837,1625,"Mersin","Tarsus"
"TU","KOZ",35.8198,37.4338,118,"Adana","Kozan"
"TU","MANS",28.5578,38.4908,961,"Manisa","Kula"
"TU","MARK",30.4356,36.2748,999,"Antalya","Kumluca"
"-","MYC",27.7133,41.0325,99,"Tekirdağ","Çorlu"
"TU","OLTU",41.9734,40.546,1350,"Erzurum","Oltu"
"TU","TOKT",28.0311,39.7617,407,"Balıkesir","Altıeylül"
"TU","VAN",43.4061,38.5286,0,"Van","Tuşba"
"-","STZ",29.1267,40.9442,30,"İstanbul","Maltepe"
"-","SYY1",29.1267,40.9442,30,"İstanbul","Maltepe"
"-","EADA",29.2905,40.8212,6,"İstanbul","Tuzla"
"TU","BLA",33.1206,39.5559,0,"Ankara","Bala"
"TU","BAKC",29.3084,37.9475,900,"Denizli","Çal"
"TU","IRLI",29.1841,37.8831,350,"Denizli","Pamukkale"
"TU","KOCA",29.2088,37.8407,345,"Denizli","Pamukkale"
"TU","SAZA",28.9068,37.9613,180,"Denizli","Sarayköy"
"TU","UZER",29.0378,37.8912,215,"Denizli","Merkezefendi"
"TU","REFA",38.7651,39.906,1594,"Erzincan","Refahiye"
"TU","KERG",34.1253,37.4146,1365,"Konya","Ereğli"
"TU","KESN",26.68,40.8259,366,"Edirne","Keşan"
"TU","KULU",32.9173,39.1713,1178,"Konya","Kulu"
"TU","KAND",30.1922,41.0943,75,"Kocaeli","Kandıra"
"TU","BTMN",41.2699,37.8911,962,"Batman","Beşiri"
"TU","SURC",38.6128,36.8793,632,"Şanlıurfa","Akçakale"
"TU","TNCL",39.5422,39.1146,1192,"Tunceli","Merkez"
"TU","VMUR",43.5716,38.9894,1717,"Van","Erciş"
"TU","CALC",34.986,40.2548,1154,"Çorum","Alaca"
"TU","SAMS",36.1872,41.361,192,"Samsun","Atakum"
"TU","ORDU",37.8571,40.991,526,"Ordu","Altınordu"
"TU","COAL",34.986,40.2548,1154,"Çorum","Alaca"
"TU","AVNS",34.8474,38.8065,1221,"Nevşehir","Avanos"
"GO","TBLG",44.7382,41.7309,540,"-","-"
"GO","AKHA",43.4928,41.4101,1720,"-","-"
"TU","KKUL",32.9173,39.1713,1178,"Konya","Kulu"
"TU","SAHE",30.8536,40.8525,481,"Sakarya","Hendek"
"TU","KEPZ",31.604,36.9015,615,"Antalya","Akseki"
"TU","KMER",32.368,37.7685,1231,"Konya","Meram"
"TU","BGOL",40.6711,38.9881,1166,"Bingöl","Merkez"
"TU","BTIN",32.2504,41.6361,233,"Bartın","Merkez"
"TU","AKSY",33.7607,38.6497,973,"Aksaray","Merkez"
"TU","YAHY",35.363,38.0947,1230,"Kayseri","Yahyalı"
"TU","CTAK",34.7914,40.6478,1775,"Çorum","Merkez"
"TU","BASK",44.0104,38.0474,2412,"Van","Başkale"
"KO","CLDR",43.9172,39.144,2094,"Van","Çaldıran"
"KO","CUKT",43.6077,37.2473,1298,"Hakkari","Çukurca"
"KO","DALY",28.6532,36.8162,548,"Muğla","Ortaca"
"KO","DAT",27.5778,36.729,1100,"Muğla","Datça"
"KO","FETY",29.0835,36.6353,200,"Muğla","Fethiye"
"KO","KONT",32.3605,37.9453,550,"Konya","Selçuklu"
"KO","SVAN",41.1985,38.1512,0,"Diyarbakır","Silvan"
"KO","VRTB",41.456,39.1603,1500,"Muş","Varto"
"TU","CMDR",32.475,40.4942,1305,"Ankara","Çamlıdere"
"TU","KZIL",30.1412,38.2575,1202,"Afyonkarahisar","Kızılören"
"TU","BRDR",30.0613,37.6963,935,"Burdur","Merkez"
"TU","TAVA",28.9132,37.4657,1016,"Denizli","Tavas"
"TU","STEP",27.7183,39.3767,519,"Balıkesir","Savaştepe"
"TU","BAYC",26.5469,39.7413,349,"Çanakkale","Bayramiç"
"TU","GEYV",30.2958,40.4842,223,"Sakarya","Geyve"
"TU","DOGA",31.6682,38.1058,1452,"Konya","Doğanhisar"
"TU","GULN",33.5435,36.1836,150,"Mersin","Gülnar"
"TU","SAIM",36.0823,37.9766,1028,"Adana","Saimbeyli"
"TU","ADCV",42.7246,38.808,1774,"Bitlis","Adilcevaz"
"TU","SRTM",41.9223,37.9911,1145,"Siirt","Merkez"
"TU","HANI",40.3994,38.4147,923,"Diyarbakır","Hani"
"TU","SANL",38.9892,37.1712,505,"Şanlıurfa","Haliliye"
"TU","ELBS",37.1327,38.3243,1260,"Kahramanmaraş","Elbistan"
"TU","YOVA",44.2896,37.5871,1946,"Hakkari","Yüksekova"
"TU","HEKM",37.9591,38.879,1859,"Malatya","Hekimhan"
"TU","ODTU",32.7935,39.8681,1077,"Ankara","Çankaya"
"TU","IGDI",44.078,39.8681,860,"Iğdır","Merkez"
"TU","BAYB",40.2576,40.2586,2015,"Bayburt","Merkez"
"GO","BTNK",44.7988,41.6833,579,"-","-"
"TU","SMV1",29.2628,39.3403,1008,"Kütahya","Emet"
"TU","SMV2",29.0244,39.1086,846,"Kütahya","Simav"
"TU","SMV3",29.2757,39.1999,924,"Kütahya","Hisarcık"
"TU","SMV4",29.1297,38.9966,0,"Kütahya","Pazarlar"
"TU","SMV5",29.2467,38.9221,831,"Kütahya","Gediz"
"TU","SIMV",29.0244,39.1086,846,"Kütahya","Simav"
"TU","AKDA",41.3636,40.1034,1875,"Erzurum","Yakutiye"
"TU","KBUK",32.627,41.2366,548,"Karabük","Merkez"
"TU","DELI",33.9204,39.9979,1169,"Kırıkkale","Delice"
"TU","YIGI",31.4485,40.9631,353,"Düzce","Yığılca"
"TU","KIBS",31.8524,40.4197,1199,"Bolu","Kıbrıscık"
